Tiempo,Rapidez de viento,Velocidad de viento media vectorial,Velocidad de rafaga
2026-03-22 20:30:00,6.3000,6.8000,8.2000
2026-03-22 20:40:00,5.9000,6.2000,7.9000
2026-03-22 20:50:00,5.7000,6.9000,8.1000
2026-03-22 21:00:00,6.5000,6.5000,8.1000
2026-03-22 21:10:00,6.1000,6.6000,8.4000
2026-03-22 21:20:00,7.6000,6.9000,8.9000
2026-03-22 21:30:00,6.4000,6.5000,8.0000
2026-03-22 21:40:00,6.3000,7.2000,8.9000
2026-03-22 21:50:00,6.4000,7.3000,9.4000
2026-03-22 22:00:00,8.3000,7.7000,9.7000
2026-03-22 22:10:00,8.6000,6.9000,10.1000
2026-03-22 22:20:00,7.7000,7.9000,10.1000
2026-03-22 22:30:00,8.0000,7.2000,9.9000
2026-03-22 22:40:00,8.6000,7.7000,10.2000
2026-03-22 22:50:00,8.6000,7.7000,10.6000
2026-03-22 23:00:00,6.5000,8.2000,10.3000
2026-03-22 23:10:00,8.5000,8.1000,10.6000
2026-03-22 23:20:00,8.6000,8.3000,10.1000
2026-03-22 23:30:00,5.9000,8.0000,10.3000
2026-03-22 23:40:00,7.5000,7.9000,10.2000
2026-03-22 23:50:00,6.7000,7.4000,9.9000
2026-03-23 00:00:00,7.1000,8.2000,10.5000
2026-03-23 00:10:00,8.1000,8.2000,10.2000
2026-03-23 00:20:00,7.7000,7.7000,10.0000
2026-03-23 00:30:00,7.6000,8.0000,10.1000
2026-03-23 00:40:00,7.7000,7.1000,9.6000
2026-03-23 00:50:00,7.9000,7.4000,9.7000
2026-03-23 01:00:00,7.2000,6.9000,9.3000
2026-03-23 01:10:00,7.1000,6.9000,9.2000
2026-03-23 01:20:00,7.4000,6.8000,8.7000
2026-03-23 01:30:00,7.1000,6.4000,8.7000
2026-03-23 01:40:00,8.1000,6.5000,8.3000
2026-03-23 01:50:00,6.1000,6.3000,8.3000
2026-03-23 02:00:00,7.1000,6.9000,9.0000
2026-03-23 02:10:00,6.6000,6.7000,8.2000
2026-03-23 02:20:00,5.9000,5.7000,7.7000
2026-03-23 02:30:00,6.2000,5.6000,7.7000
2026-03-23 02:40:00,6.3000,6.0000,7.4000
2026-03-23 02:50:00,5.1000,5.7000,7.0000
2026-03-23 03:00:00,4.9000,5.0000,6.2000
2026-03-23 03:10:00,4.5000,4.7000,6.2000
2026-03-23 03:20:00,3.5000,3.9000,5.5000
2026-03-23 03:30:00,4.2000,4.1000,5.6000
2026-03-23 03:40:00,3.8000,4.0000,5.0000
2026-03-23 03:50:00,3.5000,3.3000,4.9000
2026-03-23 04:00:00,3.8000,4.1000,5.0000
2026-03-23 04:10:00,3.4000,3.8000,4.2000
2026-03-23 04:20:00,3.7000,3.8000,4.6000
2026-03-23 04:30:00,3.2000,3.5000,4.3000
2026-03-23 04:40:00,2.9000,2.8000,4.1000
2026-03-23 04:50:00,1.6000,2.0000,3.4000
2026-03-23 05:00:00,1.4000,1.5000,2.7000
2026-03-23 05:10:00,3.5000,3.5000,3.9000
2026-03-23 05:20:00,2.7000,3.0000,4.2000
2026-03-23 05:30:00,3.0000,2.4000,3.8000
2026-03-23 05:40:00,3.3000,3.1000,3.7000
2026-03-23 05:50:00,1.6000,1.6000,3.2000
2026-03-23 06:00:00,1.6000,1.5000,2.7000
2026-03-23 06:10:00,1.4000,1.4000,2.4000
2026-03-23 06:20:00,0.7000,1.0000,2.3000
2026-03-23 06:30:00,1.6000,1.4000,2.2000
2026-03-23 06:40:00,1.9000,1.2000,2.3000
2026-03-23 06:50:00,1.3000,1.1000,2.4000
2026-03-23 07:00:00,1.7000,1.4000,2.8000
